id,title,description,duration,difficulty,tags,thumbnailUrl,courseUrl
professional-cloud-devops-engineer-certification,"Professional Cloud DevOps Engineer Path","This learning path helps you advance your skills in site reliability engineering, CI/CD pipelines, and service management on Google Cloud.","40+ Hours",Advanced,"DevOps,CI/CD,SRE,Certification",https://logodix.com/logo/433040.jpg,https://www.credly.com/org/google-cloud/badge/professional-cloud-devops-engineer-certification
create-and-manage-cloud-resources,"Create and Manage Cloud Resources","Get hands-on practice with the foundational components of Google Cloud, including projects, IAM, networking, and Compute Engine.",8 Hours,Beginner,"GCP,Admin,IAM",https://logodix.com/logo/433040.jpg,https://www.cloudskillsboost.google/course_templates/716
perform-foundational-infra-tasks,"Perform Foundational Infrastructure Tasks","This is the introductory quest for those new to Google Cloud, providing hands-on practice with the most common services.",6 Hours,Beginner,"GCP,Compute,Storage,Networking",https://logodix.com/logo/433040.jpg,https://www.cloudskillsboost.google/course_templates/676
set-up-and-configure-a-cloud-environment,"Set up and Configure a Cloud Environment","Learn how to configure a cloud environment using the Google Cloud console and gcloud command-line tool, including projects and billing.",7 Hours,Beginner,"GCP,Admin,Billing",https://logodix.com/logo/433040.jpg,https://www.cloudskillsboost.google/course_templates/654
automating-infrastructure-with-terraform,"Automating Infrastructure with Terraform","Learn to use Terraform, the popular Infrastructure as Code (IaC) tool, to provision and manage Google Cloud resources efficiently and repeatably.",6 Hours,Intermediate,"Terraform,IaC,DevOps,GCP",https://logodix.com/logo/1686066.png,https://www.cloudskillsboost.google/course_templates/756
build-and-secure-networks-in-google-cloud,"Build and Secure Networks in Google Cloud","Explore Google Cloud's networking capabilities, from VPCs and subnets to firewalls and load balancing. A core skill for any cloud professional.",8 Hours,Intermediate,"Networking,Security,VPC,GCP",https://logodix.com/logo/433040.jpg,https://www.cloudskillsboost.google/course_templates/748
ensure-access-and-identity-in-google-cloud,"Ensure Access and Identity in Google Cloud","Master Identity and Access Management (IAM) in Google Cloud. Learn about roles, permissions, and service accounts to secure your cloud environment.",6 Hours,Intermediate,"Security,IAM,GCP",https://logodix.com/logo/433040.jpg,https://www.cloudskillsboost.google/course_templates/625
getting-started-with-gke,"Getting Started with Google Kubernetes Engine","Learn the fundamentals of GKE, including creating clusters, deploying containerized applications, and managing workloads with kubectl and Google Cloud Console.",7 Hours,Intermediate,"GKE,Kubernetes,Containers,DevOps",https://cdn.qwiklabs.com/gFmqBw+OuxgbiL0lz4P6jAQ57ywaL4ecCKO4N4BIfgI=,https://www.cloudskillsboost.google/course_templates/747
architecting-with-google-compute-engine,"Architecting with Google Compute Engine","Learn to design and deploy robust, scalable, and highly available solutions on Google Compute Engine, from VMs to load balancing.",12 Hours,Intermediate,"GCP,Architecture,Compute Engine",https://logodix.com/logo/433040.jpg,https://www.cloudskillsboost.google/paths/420
manage-kubernetes-in-gcp,"Manage Kubernetes in Google Cloud","Dive deeper into managing GKE clusters. This course covers monitoring, logging, and managing applications in a production environment.",7 Hours,Advanced,"GKE,Kubernetes,DevOps",https://cdn.qwiklabs.com/gFmqBw+OuxgbiL0lz4P6jAQ57ywaL4ecCKO4N4BIfgI=,https://www.cloudskillsboost.google/course_templates/634
getting-started-with-cloud-storage,"Getting Started with Cloud Storage","Learn the fundamentals of Google Cloud Storage, including creating buckets, uploading objects, and managing access control.",3 Hours,Beginner,"GCP,Storage",https://logodix.com/logo/433040.jpg,https://www.cloudskillsboost.google/course_templates/641
serverless-cloud-run-development,"Serverless Cloud Run Development","Learn how to deploy and manage serverless applications on Google Cloud Run, a fully managed compute platform.",5 Hours,Intermediate,"Serverless,Cloud Run,GCP",https://logodix.com/logo/433040.jpg,https://www.cloudskillsboost.google/course_templates/761
introduction-to-generative-ai,"Introduction to Generative AI","A foundational course covering the basics of what Generative AI is, how it is used, and how it differs from traditional machine learning methods.",4 Hours,Beginner,"GenAI,AI,Vertex AI",https://logowik.com/content/uploads/images/google-ai-gemini91216.logowik.com.webp,https://www.cloudskillsboost.google/course_templates/966
introduction-to-large-language-models,"Introduction to Large Language Models","Explore the fundamentals of Large Language Models (LLMs), their use cases, and how you can tune them for your specific needs.","4Hours",Beginner,"LLM,AI,Prompt Engineering",https://logowik.com/content/uploads/images/google-ai-gemini91216.logowik.com.webp,https://www.cloudskillsboost.google/course_templates/976
build-apps-with-google-workspace-apis,"Build Apps with Google Workspace APIs","Learn to use Google Workspace APIs to build applications that integrate with services like Gmail, Drive, Calendar, and Sheets.",10 Hours,Intermediate,"Workspace,API,Automation",https://logowik.com/content/uploads/images/4192-google-workspace.webp,https://www.cloudskillsboost.google/paths/1282
